targetid,survey,program,spectype,zwarn,zcat_primary,source_id,gaia_ra,gaia_dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,param,feh,alphafe,log10micro,teff,logg,tipo_fgk,parallax_snr
39632956083404877,main,bright,STAR,0,t,1467535731715673984,195.90571877579112,33.76099862210325,1.389440100683916,0.064453,0.8657236245838614,-6.053918731674409,16.815762,17.605017,15.950258,[-2.1140e-01  6.4872e-02         nan  4.1796e+03  4.4062e+00],-0.2114,0.064872,,4179.6,4.4062,K,21.557415491659288
39633054116872578,main,bright,STAR,0,t,1295539333940646272,227.673949861289,38.73521806130909,1.0400845529249292,0.048378,-4.3591685506256495,-3.489097484667304,16.75311,17.439976,15.955521,[-9.6468e-02  9.2495e-02         nan  4.5105e+03  4.6972e+00],-0.096468,0.092495,,4510.5,4.6972,K,21.49912259549649
39627622530948228,main,bright,STAR,0,t,2487017034841096960,35.69652379167315,-6.647218487743101,1.5645099885116156,0.072981,-9.75318365973808,-10.881234164481103,16.90486,17.79641,15.973331,[-4.1922e-02  1.0334e-01         nan  4.0619e+03  4.4883e+00],-0.041922,0.10334,,4061.9,4.4883,K,21.43722322949282
39632989906276380,main,bright,STAR,0,t,906564005870487424,119.95928702212169,35.49699649476136,1.4087885554978643,0.066048,-8.535708549687344,-6.4361647902785135,16.530169,17.223206,15.717366,[-6.6422e-01  1.7121e-01  2.9972e-01  4.5103e+03  4.7203e+00],-0.66422,0.17121,0.29972,4510.3,4.7203,K,21.329768584936172
39633460444268362,main,bright,STAR,0,t,1059306649372229504,165.26674942490388,66.76322656831671,1.314975155831703,0.06174,-33.24612975379296,-38.97794579297145,17.19358,17.83242,16.43333,[-1.8166e+00  5.3905e-01  3.9517e-01  4.5259e+03  4.7035e+00],-1.8166,0.53905,0.39517,4525.9,4.7035,K,21.298593388916473
39633481088633418,main,bright,STAR,0,t,1062025913427235328,168.0523166559424,69.074780164934,1.0808349103288577,0.050765,-12.433253363751804,-12.16594001022152,16.919008,17.583883,16.131168,[-5.7494e-01  1.8982e-01  1.5816e-01  4.4413e+03  4.9369e+00],-0.57494,0.18982,0.15816,4441.3,4.9369,K,21.290946721734617
39627769948146546,main,bright,STAR,0,t,3686708396839113984,199.1408594519588,-0.6477613439587332,1.6601063762973818,0.077995,8.423171471338595,-18.180460397569952,16.558775,17.12534,15.256769,[-7.4090e-02  1.3706e-01         nan  4.0816e+03  4.3292e+00],-0.07409,0.13706,,4081.6,4.3292,K,21.284779489677312
39627733923270635,main,bright,STAR,0,t,3647137385672290688,211.9353840740801,-2.286311163520506,1.3564055227302607,0.063922,8.134658481854956,0.7070917665311478,16.535818,17.281042,15.667364,[-4.7853e-01  1.9919e-01         nan  4.2060e+03  4.0884e+00],-0.47853,0.19919,,4206.0,4.0884,K,21.219697799353284
39633127273924894,main,bright,STAR,0,t,1499243619836079360,210.78425272844868,42.75783864286661,1.4498946333867528,0.068358,6.262033140240949,-27.027698618215453,17.47311,18.332197,16.577547,[-1.2773e+00  3.2949e-01  3.4685e-01  4.0567e+03  4.5024e+00],-1.2773,0.32949,0.34685,4056.7,4.5024,K,21.21031383871314
39633034412034489,main,bright,STAR,0,t,766213717406860800,176.14346601267684,37.73217640191284,1.275844167781102,0.060304,-0.4232722565868654,-5.69583050139452,16.491337,17.154095,15.707777,[-1.6903e-01  1.5172e-01         nan  4.4959e+03  4.6339e+00],-0.16903,0.15172,,4495.9,4.6339,K,21.156874631551837
