targetid,survey,program,spectype,zwarn,zcat_primary,source_id,gaia_ra,gaia_dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,param,feh,alphafe,log10micro,teff,logg,tipo_espectral_aprox,parallax_snr
39633094847762961,main,bright,STAR,0,t,813405237507854208,143.3327995183346,41.051150427737845,0.9462941817629584,0.058605,-9.837763997152509,-3.143623414926293,16.626028,17.189837,15.923257,[nan nan nan nan nan],,,,,,sin_teff,16.146987147222223
39633312322422655,special,bright,STAR,0,t,2147325077807968000,279.54438192661144,54.33170870833696,0.6718954144567826,0.041625,7.161894750389486,4.127419010271462,16.667068,17.164513,16.02798,[nan nan nan nan nan],,,,,,sin_teff,16.141631578541322
39633545752215900,main,bright,STAR,0,t,1137914171616570752,134.47382392304868,78.39937343345805,0.7334142956724559,0.045456,-3.0139692836394456,-6.437608917728889,16.755167,17.233208,16.122778,[nan nan nan nan nan],,,,,,sin_teff,16.1345981976517
2305843032223674497,main,backup,STAR,0,t,3088455702033797248,116.71534690822637,1.9685860685969057,0.5147217374436779,0.031932,-4.2156735507110525,2.4828018504987117,15.467723,15.747673,15.030126,[nan nan nan nan nan],,,,,,sin_teff,16.119307824241446
2305843038246670398,main,backup,STAR,0,t,3896860833099154304,175.94713367597757,4.510180873403783,3.5267125360935085,0.218791,-13.462919596109764,-40.13307888554987,18.542957,20.247732,17.229607,[nan nan nan nan nan],,,,,,sin_teff,16.11909327208847
39633301245267458,sv3,bright,STAR,0,t,1428146139966996608,243.16636966739168,53.58522350336965,0.914322442970568,0.056745,-13.872426840069524,7.878222160265928,17.268349,18.003284,16.412697,[nan nan nan nan nan],,,,,,sin_teff,16.11282831915707
39627567753334042,main,bright,STAR,0,t,2608577455564327424,341.6740890070679,-9.36302373566093,1.9287540156358816,0.119734,4.355266394343175,0.4175702881428749,17.718452,18.861038,16.652628,[nan nan nan nan nan],,,,,,sin_teff,16.108657654767082
39627932787804082,main,bright,STAR,0,t,3706086666507748864,195.39149933128243,5.945578881428327,6.012928075292693,0.373357,3.874575066106943,-1.6488346681885326,19.455307,19.596064,19.247078,[nan nan nan nan nan],,,,,,sin_teff,16.105036400262197
2305843019036755577,main,backup,STAR,0,t,1318675360692056576,243.9630810864492,30.0259342520099,0.5071179131384949,0.031491,5.876697061587491,-15.110727599614108,15.910405,16.25241,15.402738,[nan nan nan nan nan],,,,,,sin_teff,16.10358239301689
2305843035780425307,main,backup,STAR,0,t,3565763526533813376,167.7507412483067,-12.802012550621043,2.8834559824735395,0.179117,-11.839564737067109,6.898884870911758,17.838833,19.45443,16.636818,[nan nan nan nan nan],,,,,,sin_teff,16.098170371732106
2305843017094798931,main,backup,STAR,0,t,1058039599660568960,179.4036963964457,68.23116098939444,0.5740796525092408,0.035679,-6.382520913877862,-6.240537627232818,15.891302,16.220932,15.398494,[nan nan nan nan nan],,,,,,sin_teff,16.090127316046996
39627673424626994,main,bright,STAR,0,t,3635216446244303616,201.8905566853872,-4.679516466745498,1.6351716952971078,0.101663,-15.566402113783829,-23.9107775043429,17.459112,18.38961,16.499884,[nan nan nan nan nan],,,,,,sin_teff,16.084236106519654
2305843036048854712,sv3,backup,STAR,0,t,3602310640206012160,178.6779418585576,-1.3626323492646812,0.8605863578077315,0.05351,-18.76044042346749,8.423924855219598,16.329424,16.772621,15.721868,[nan nan nan nan nan],,,,,,sin_teff,16.082720198238302
39633136534948774,sv3,bright,STAR,0,t,1382023894924758144,243.9198859034,43.133178897862464,1.4792648904856416,0.09198,-17.91464826727278,12.586196441482633,18.084303,19.288485,17.051079,[nan nan nan nan nan],,,,,,sin_teff,16.082462388406626
